fund_name,sector,start_weight_pct,end_weight_pct,start_date,end_date
BajajFinserv MF,Consumer Goods,9.45,9.76,2026-04-01,2026-05-01
BajajFinserv MF,Engineering & Capital Goods,5.38,5.93,2026-04-01,2026-05-01
BajajFinserv MF,Financial Services,1.33,1.22,2026-04-01,2026-05-01
BajajFinserv MF,Financial services/Insurance,4.37,4.54,2026-04-01,2026-05-01
BajajFinserv MF,Infra/Real estate,2.58,1.97,2026-04-01,2026-05-01
BajajFinserv MF,IT,5.56,4.11,2026-04-01,2026-05-01
BajajFinserv MF,Metals & Mining,3.43,2.99,2026-04-01,2026-05-01
BajajFinserv MF,Miscellaneous,1.76,2.91,2026-04-01,2026-05-01
BajajFinserv MF,Oil/Energy,5.22,5.54,2026-04-01,2026-05-01
BajajFinserv MF,Pharma/healthcare,12.03,12.33,2026-04-01,2026-05-01
BajajFinserv MF,Power,2.25,1.76,2026-04-01,2026-05-01
BajajFinserv MF,Real Estate Investment Trusts,0.46,0.44,2026-04-01,2026-05-01
BajajFinserv MF,Telecom/Media,3.11,2.36,2026-04-01,2026-05-01
Bandhan MF,Aerospace & Defence,0.55,0.51,2026-04-01,2026-05-01
Bandhan MF,Auto & Auto Ancillaries,4.41,4.56,2026-04-01,2026-05-01
Bandhan MF,Banks,16.14,16.52,2026-04-01,2026-05-01
Bandhan MF,Building materials,2.72,3.13,2026-04-01,2026-05-01
Bandhan MF,Chemicals,2.98,2.92,2026-04-01,2026-05-01
Bandhan MF,Co-Working,0.21,0.2,2026-04-01,2026-05-01
Bandhan MF,Consumer Durables,1.15,1.19,2026-04-01,2026-05-01
Bandhan MF,Consumer Goods,10.35,9.52,2026-04-01,2026-05-01
Bandhan MF,Engineering & Capital Goods,4.43,4.23,2026-04-01,2026-05-01
Bandhan MF,Financial Services,0.76,0.64,2026-04-01,2026-05-01
Bandhan MF,Financial services/Insurance,12.52,12.61,2026-04-01,2026-05-01
Bandhan MF,Infra/Real estate,8.41,8.59,2026-04-01,2026-05-01
Bandhan MF,IT,8.49,9.41,2026-04-01,2026-05-01
Bandhan MF,Metals & Mining,4.25,4.1,2026-04-01,2026-05-01
Bandhan MF,Miscellaneous,2.85,3.03,2026-04-01,2026-05-01
Bandhan MF,Oil/Energy,5.28,4.82,2026-04-01,2026-05-01
Bandhan MF,Pharma/healthcare,8.91,8.86,2026-04-01,2026-05-01
Bandhan MF,Plywood Boards/Laminates,0.34,0.28,2026-04-01,2026-05-01
Bandhan MF,Power,2.77,2.35,2026-04-01,2026-05-01
Bandhan MF,Printing & Stationery,0.05,0.05,2026-04-01,2026-05-01
Bandhan MF,Quick Service Restaurant,0.25,0.28,2026-04-01,2026-05-01
Bandhan MF,Telecom-Handsets/Mobile,0.02,0.01,2026-04-01,2026-05-01
Bandhan MF,Telecom/Media,2.17,2.22,2026-04-01,2026-05-01
Bank of India MF,Aerospace & Defence,3.42,3.05,2026-04-01,2026-05-01
Bank of India MF,Auto & Auto Ancillaries,8.04,8.07,2026-04-01,2026-05-01
Bank of India MF,Banks,11.27,10.77,2026-04-01,2026-05-01
Bank of India MF,Building materials,2.38,2.31,2026-04-01,2026-05-01
