Stock,Lookback,Return,AnchorDateUsed,TargetDateUsed,Rank
NIFTY METAL,7M,19.71902407,01-07-2026,01-12-2025,2
NIFTY CAPITAL MARKETS,8M,22.61048077,01-07-2026,31-10-2025,2
NIFTY CAPITAL MARKETS,9M,31.99073249,01-07-2026,01-10-2025,2
NIFTY METAL,10M,33.20097149,01-07-2026,01-09-2025,2
NIFTY METAL,11M,36.17087895,01-07-2026,01-08-2025,2
NIFTY TELECOMMUNICATIONS,12M,24.6542672,01-07-2026,01-07-2025,2
NIFTY TOURISM,1M,11.96841543,01-07-2026,01-06-2026,1
NIFTY TELECOMMUNICATIONS,2M,21.95023365,01-07-2026,30-04-2026,1
NIFTY TELECOMMUNICATIONS,3M,37.25371986,01-07-2026,01-04-2026,1
NIFTY TELECOMMUNICATIONS,4M,25.3684904,01-07-2026,27-02-2026,1
NIFTY TELECOMMUNICATIONS,5M,27.70510928,01-07-2026,01-02-2026,1
NIFTY INDIA DEFENCE,6M,23.6615289,01-07-2026,01-01-2026,1
NIFTY TELECOMMUNICATIONS,7M,24.32435149,01-07-2026,01-12-2025,1
NIFTY TELECOMMUNICATIONS,8M,28.01348102,01-07-2026,31-10-2025,1
NIFTY TELECOMMUNICATIONS,9M,35.53480252,01-07-2026,01-10-2025,1
NIFTY TELECOMMUNICATIONS,10M,42.40045126,01-07-2026,01-09-2025,1
NIFTY TELECOMMUNICATIONS,11M,39.51015038,01-07-2026,01-08-2025,1
NIFTY METAL,12M,29.59051916,01-07-2026,01-07-2025,1
